肉食植物之研究
目次
總論
さらせにや科	一
　さらせにあ族	七
　だありんとにあ属	九
　へりあんほら属	十五
ねぺんてす科	十七
　ねぺんてす属	十九
せふぁろとす科	二十五
もうせんごけ科	二十六
びぶりす属	二十七
ろりでゅら属	二十八
まうせんごけ属	二十八
でをにや属	二十八
試驗	四十七
運動波及の狀態	五十七
どろそふぃるむ	五十九
むじなも	六十四
たぬきも科	六十四
げんりしや	六十五
ぽりぽむぷりつくす	七〇
本邦産肉食植物	七一

第一章　むしとりすみれ	七一
	說明	七一
	習性竝に產物	七六
	肉食作用	八六
	ダーヴィン氏の試驗	九〇
	溶解性物質の試驗	一〇四
	同屬中の他の植物	一一四
第二章　たぬきも	一一五
	ダーヴィン氏の試驗	一二四
	同屬中の他の植物	一二九
第三章　まうせんごけ	一三九
	說明	一三九
	各部の動作及び昆虫を捕獲する狀態	一五〇
	刺擊感應に伴ひて起こる毛茸內部變化	一七二
	ダーヴィン氏の試驗	一九〇
	分泌液の有する消化力	一九四
	鷄卵より取りたる蛋白に對する消化力	一九七
	動物の纎維に對する消化力	二〇〇
	骨片に對する消化力	二〇二
	葉に對する消化力	二〇二
	「ゼラテン」に對する消化力	二〇三
	牛乳に對する消化力	二〇三
	含窒素液竝に他の種類の液體に及ぼす影響	二〇五
	刺激及び運動の傳達	二〇八
	毛茸體の感應と動物神經の諸作用との比較	二一四
	スツリキニン	二一七
	硫酸キナエン	二一九
	ニコチン	二一九
	モルヒネ	二二〇
	カンホオル	二二〇
	クロゝホーム
	コブラ毒	二二二
	同属中の他の植物	二四三
第四章　むじなも
	說明	二四七
	試驗	二四九

目次　終
